OpFlag	BusinessEntityID	PhoneNumber	PhoneNumberTypeID	ModifiedDate
V	1	697-555-0142	1	2009-01-07 00:00:00
V	2	819-555-0175	3	2008-01-24 00:00:00
V	3	212-555-0187	1	2007-11-04 00:00:00
V	4	612-555-0100	1	2007-11-28 00:00:00
V	5	849-555-0139	1	2007-12-30 00:00:00
V	6	122-555-0189	3	2013-12-16 00:00:00
V	7	181-555-0156	3	2009-02-01 00:00:00
V	8	815-555-0138	1	2008-12-22 00:00:00
V	9	185-555-0186	1	2009-01-09 00:00:00
V	10	330-555-2568	3	2009-04-26 00:00:00
V	11	719-555-0181	1	2010-11-28 00:00:00
V	12	168-555-0183	3	2007-12-04 00:00:00
V	13	473-555-0117	3	2010-12-16 00:00:00
V	14	465-555-0156	1	2010-12-23 00:00:00
V	15	970-555-0138	1	2011-01-11 00:00:00
V	16	913-555-0172	3	2007-12-13 00:00:00
V	17	150-555-0189	1	2007-01-19 00:00:00
V	18	486-555-0150	3	2011-01-31 00:00:00
V	19	124-555-0114	1	2011-02-07 00:00:00
V	20	708-555-0141	3	2010-12-31 00:00:00
V	21	138-555-0118	1	2009-02-23 00:00:00
V	22	399-555-0176	3	2008-12-05 00:00:00
V	23	531-555-0183	3	2009-01-05 00:00:00
V	24	510-555-0121	3	2009-01-11 00:00:00
V	25	870-555-0122	3	2009-01-27 00:00:00
V	26	913-555-0196	3	2008-11-24 00:00:00
V	27	632-555-0129	1	2008-02-20 00:00:00
V	28	320-555-0195	3	2006-06-23 00:00:00
V	29	417-555-0154	3	2009-01-16 00:00:00
V	30	955-555-0169	1	2009-01-22 00:00:00
V	31	818-555-0128	1	2008-12-28 00:00:00
V	32	314-555-0113	1	2008-12-22 00:00:00
V	33	499-555-0125	3	2008-12-10 00:00:00
V	34	753-555-0129	1	2009-02-09 00:00:00
V	35	429-555-0137	1	2009-02-01 00:00:00
V	36	587-555-0115	1	2009-02-03 00:00:00
V	37	315-555-0144	1	2009-02-28 00:00:00
V	38	208-555-0114	1	2010-01-09 00:00:00
V	39	919-555-0140	3	2010-01-29 00:00:00
V	40	903-555-0145	3	2007-12-19 00:00:00
V	41	712-555-0113	1	2009-01-14 00:00:00
V	42	119-555-0117	1	2008-12-20 00:00:00
V	43	970-555-0118	1	2008-12-26 00:00:00
V	44	963-555-0134	3	2008-12-01 00:00:00
V	45	278-555-0118	1	2009-02-19 00:00:00
V	46	173-555-0179	1	2009-02-01 00:00:00
V	47	908-555-0159	1	2009-02-15 00:00:00
V	48	145-555-0130	1	2007-12-30 00:00:00
V	49	206-555-0180	3	2013-11-29 00:00:00
V	50	424-555-0189	3	2008-01-26 00:00:00
V	51	984-555-0185	3	2008-02-13 00:00:00
V	52	328-555-0150	1	2014-01-31 00:00:00
V	53	202-555-0151	1	2008-03-21 00:00:00
V	54	264-555-0150	3	2009-12-25 00:00:00
V	55	508-555-0165	3	2013-12-31 00:00:00
V	56	869-555-0119	1	2009-01-29 00:00:00
V	57	167-555-0139	3	2009-02-16 00:00:00
V	58	138-555-0128	3	2008-11-28 00:00:00
V	59	611-555-0116	3	2008-12-17 00:00:00
V	60	768-555-0123	1	2009-01-04 00:00:00
V	61	361-555-0180	3	2009-01-11 00:00:00
V	62	435-555-0113	3	2014-02-07 00:00:00
V	63	237-555-0128	1	2010-01-22 00:00:00
V	64	582-555-0148	1	2010-02-16 00:00:00
V	65	961-555-0122	1	2010-02-16 00:00:00
V	66	447-555-0186	3	2009-12-15 00:00:00
V	67	407-555-0165	3	2009-02-26 00:00:00
V	68	931-555-0118	3	2009-11-26 00:00:00
V	69	712-555-0170	3	2009-02-08 00:00:00
V	70	712-555-0119	3	2008-12-08 00:00:00
V	71	156-555-0199	1	2009-02-08 00:00:00
V	72	925-555-0114	3	2008-11-24 00:00:00
V	73	688-555-0192	1	2008-12-12 00:00:00
V	74	199-555-0117	3	2008-12-31 00:00:00
V	75	984-555-0148	3	2009-01-19 00:00:00
V	76	609-555-0153	1	2009-02-05 00:00:00
V	77	224-555-0187	3	2009-02-24 00:00:00
V	78	191-555-0112	3	2008-12-08 00:00:00
V	79	680-555-0118	1	2010-01-17 00:00:00
V	80	166-555-0156	3	2010-01-10 00:00:00
V	81	733-555-0128	3	2009-12-22 00:00:00
V	82	521-555-0113	1	2010-02-24 00:00:00
V	83	425-555-0117	1	2010-02-05 00:00:00
V	84	203-555-0196	3	2010-01-29 00:00:00
V	85	730-555-0117	1	2009-12-04 00:00:00
V	86	208-555-0114	3	2008-12-29 00:00:00
V	87	434-555-0133	1	2008-12-15 00:00:00
V	88	405-555-0171	1	2009-12-11 00:00:00
V	89	413-555-0124	1	2010-01-25 00:00:00
V	90	500-555-0172	1	2010-02-13 00:00:00
V	91	123-555-0167	3	2010-01-05 00:00:00
V	92	295-555-0161	3	2010-03-03 00:00:00
V	93	999-555-0155	3	2008-12-20 00:00:00
V	94	786-555-0144	3	2008-12-05 00:00:00
V	95	679-555-0113	3	2008-12-12 00:00:00
V	96	318-555-0137	1	2009-02-23 00:00:00
V	97	140-555-0132	3	2009-02-03 00:00:00
V	98	990-555-0172	1	2009-02-04 00:00:00
V	99	913-555-0184	1	2008-12-30 00:00:00
V	100	582-555-0178	1	2009-01-05 00:00:00
V	101	180-555-0136	1	2009-01-18 00:00:00
V	102	113-555-0173	1	2008-11-26 00:00:00
V	103	202-555-0187	1	2009-11-29 00:00:00
V	104	283-555-0185	3	2009-12-18 00:00:00
V	105	555-555-0113	3	2009-12-18 00:00:00
